Year,popSizeP1,PiP1,FitnessP1,meanHetP1,BP1,FROHP1,avgvStrDelP1,avgStrDelP1,avgModDelP1,avgWkDelP1,avgNeutP1,KCrater,Seed
54000,4950,2.54186e-05,0.990734,2.84e-05,0.251143,0.235875,0.6,5.1,12.9,73.5,204.4,100,2642959719
54002,4926,2.58138e-05,0.990759,2.84343e-05,0.194591,0.219143,0.5,4.2,12.3,75.9,203.0,100,2642959719
54004,4926,2.57293e-05,0.990798,2.94286e-05,0.238392,0.215169,0.4,5.5,14.0,76.2,202.5,100,2642959719
54006,4974,2.58435e-05,0.990665,2.95771e-05,0.40986,0.213859,0.5,5.6,11.3,73.8,203.6,100,2642959719
54008,4884,2.58412e-05,0.990715,2.89371e-05,0.166798,0.236746,0.1,4.2,13.7,78.6,201.0,100,2642959719
54010,4974,2.54392e-05,0.990647,2.93943e-05,0.178485,0.209235,0.3,4.7,10.9,76.1,207.5,100,2642959719
54012,4913,2.61976e-05,0.990642,2.88343e-05,0.28053,0.243554,0.2,4.5,12.3,78.0,209.1,100,2642959719
54014,4969,2.53455e-05,0.990562,2.86514e-05,0.249204,0.226125,0.2,4.1,14.4,75.0,207.8,100,2642959719
54016,4983,2.60263e-05,0.990567,2.896e-05,0.185609,0.227005,0.3,5.1,12.4,76.0,203.2,100,2642959719
54018,4891,2.60103e-05,0.990681,2.88914e-05,0.230577,0.228097,0.7,4.6,12.3,78.7,199.2,100,2642959719
54020,4897,2.62479e-05,0.990757,2.97029e-05,0.186332,0.222111,0.3,4.5,14.0,77.4,200.3,100,2642959719
54022,4912,2.54392e-05,0.99068,2.84571e-05,0.322528,0.233515,0.3,5.5,11.8,77.2,203.1,100,2642959719
54024,4954,2.56722e-05,0.990753,2.89143e-05,0.396573,0.246608,0.5,5.5,11.2,78.7,206.3,100,2642959719
54026,5015,2.4313e-05,0.990695,2.82057e-05,0.146596,0.233683,0.3,3.5,12.8,74.4,198.1,100,2642959719
54028,4938,2.57636e-05,0.990653,2.75886e-05,0.149565,0.227408,0.1,4.0,12.0,74.6,197.3,100,2642959719
54030,4971,2.50737e-05,0.990642,2.84229e-05,0.261735,0.239435,0.3,3.7,13.7,78.7,199.0,100,2642959719
54032,5018,2.48018e-05,0.990634,2.89143e-05,0.166614,0.246956,0.3,3.6,13.0,75.3,202.4,100,2642959719
54034,4965,2.54141e-05,0.990756,2.88571e-05,0.246765,0.242646,0.2,4.3,13.0,76.2,203.2,100,2642959719
54036,4949,2.55009e-05,0.990632,2.95314e-05,0.295939,0.229791,0.5,4.2,12.9,77.7,200.8,100,2642959719
54038,4962,2.56768e-05,0.990647,2.74857e-05,0.181729,0.27364,0.2,3.7,12.1,73.5,202.7,100,2642959719
54040,4977,2.60149e-05,0.99073,2.808e-05,0.140526,0.2549,0.1,3.6,11.4,75.5,205.8,100,2642959719
54042,4954,2.63826e-05,0.990691,2.90971e-05,0.163772,0.226172,0.1,3.6,14.5,81.9,201.8,100,2642959719
54044,5000,2.5992e-05,0.990649,2.856e-05,0.277849,0.207733,0.2,4.7,14.3,74.6,199.3,100,2642959719
54046,4941,2.57567e-05,0.990573,2.872e-05,0.286169,0.234402,0.4,4.4,12.7,74.5,204.6,100,2642959719
54048,4936,2.5213e-05,0.990575,2.88114e-05,0.215166,0.236094,0.2,5.0,13.6,76.6,200.5,100,2642959719
54050,4939,2.56539e-05,0.99058,2.87886e-05,0.338914,0.252065,0.6,5.5,13.0,74.8,207.2,100,2642959719
54052,4963,2.53729e-05,0.990616,2.80571e-05,0.1428,0.264876,0.1,3.9,12.3,76.9,197.6,100,2642959719
54054,4959,2.59303e-05,0.990613,2.73371e-05,0.332502,0.248396,0.5,3.2,10.5,76.2,199.6,100,2642959719
54056,4988,2.65905e-05,0.990595,2.80229e-05,0.332188,0.263317,0.2,3.9,10.3,77.2,190.1,100,2642959719
54058,4934,2.56585e-05,0.990727,2.92914e-05,0.183726,0.218449,0.2,4.2,12.6,81.0,209.1,100,2642959719
54060,4924,2.51468e-05,0.990742,2.832e-05,0.184219,0.243616,0.5,4.3,12.1,77.7,203.2,100,2642959719
54062,4912,2.68852e-05,0.99083,2.83543e-05,0.277429,0.249434,0.4,4.5,12.2,76.5,199.2,100,2642959719
54064,4908,2.54506e-05,0.990745,2.79771e-05,0.110048,0.226496,0.1,3.4,11.5,72.7,202.8,100,2642959719
54066,4913,2.63324e-05,0.990806,2.89486e-05,0.108004,0.236214,0.1,2.9,11.4,76.1,202.9,100,2642959719
54068,4979,2.5727e-05,0.990802,2.93714e-05,0.271467,0.231555,0.3,4.7,13.4,75.2,196.7,100,2642959719
54070,4963,2.51422e-05,0.990821,2.864e-05,0.166141,0.226562,0.2,4.1,12.1,75.8,201.0,100,2642959719
54072,4992,2.60605e-05,0.990745,2.88e-05,0.238424,0.224584,0.1,3.4,12.9,80.1,200.1,100,2642959719
54074,4893,2.51445e-05,0.990745,2.79429e-05,0.181726,0.250464,0.0,5.1,12.7,80.5,198.2,100,2642959719
54076,4968,2.50691e-05,0.990648,2.94286e-05,0.136374,0.20702,0.0,3.7,13.0,79.4,203.8,100,2642959719
54078,4898,2.58618e-05,0.990575,2.86857e-05,0.1851,0.222433,0.5,3.9,11.7,76.1,198.9,100,2642959719
54080,4934,2.63689e-05,0.990588,2.81943e-05,0.188726,0.226281,0.2,3.7,12.4,81.1,201.9,100,2642959719
54082,4960,2.53729e-05,0.990624,2.89029e-05,0.319134,0.242174,0.5,4.6,12.3,80.1,197.4,100,2642959719
54084,4954,2.6474e-05,0.990618,2.888e-05,0.186129,0.226469,0.1,5.0,13.1,78.8,203.6,100,2642959719
54086,4942,2.58207e-05,0.990585,2.88914e-05,0.14361,0.226654,0.1,3.3,12.9,82.2,201.0,100,2642959719
54088,4971,2.55511e-05,0.99062,2.89943e-05,0.250883,0.237377,0.3,4.4,12.0,79.0,200.3,100,2642959719
54090,4948,2.5727e-05,0.990481,2.88914e-05,0.220856,0.25661,0.4,4.8,12.2,78.3,203.1,100,2642959719
54092,4964,2.52747e-05,0.990557,2.84e-05,0.357537,0.233052,0.3,5.7,12.1,79.7,199.7,100,2642959719
54094,4960,2.69035e-05,0.990649,2.792e-05,0.271789,0.231179,0.5,4.1,11.3,75.4,194.2,100,2642959719
54096,5005,2.596e-05,0.990704,2.888e-05,0.175004,0.242561,0.2,4.7,12.6,78.7,203.0,100,2642959719
54098,4977,2.551e-05,0.990714,2.88343e-05,0.281324,0.231602,0.5,4.9,13.0,76.8,203.3,100,2642959719
54100,4983,2.61336e-05,0.990745,2.79771e-05,0.160307,0.268591,0.0,4.4,11.3,78.0,198.7,100,2642959719
54102,4951,2.54437e-05,0.990703,2.85829e-05,0.267148,0.230553,0.2,5.3,11.6,80.1,200.7,100,2642959719
54104,4938,2.5325e-05,0.99064,2.82286e-05,0.297506,0.244014,0.5,4.6,11.7,76.0,201.8,100,2642959719
54106,4999,2.5446e-05,0.99071,2.96914e-05,0.124759,0.225616,0.1,3.8,12.9,77.8,202.1,100,2642959719
54108,4923,2.52153e-05,0.99068,2.864e-05,0.242794,0.249643,0.4,5.6,13.6,79.3,203.5,100,2642959719
54110,4907,2.55283e-05,0.990772,2.864e-05,0.302293,0.237964,0.4,4.4,10.3,79.8,197.8,100,2642959719
54112,4914,2.51742e-05,0.990784,2.92343e-05,0.297496,0.236544,0.6,3.8,13.7,76.6,204.3,100,2642959719
54114,4967,2.6426e-05,0.990849,2.87543e-05,0.170514,0.247842,0.3,4.5,12.5,80.7,201.0,100,2642959719
54116,4942,2.48315e-05,0.990854,2.81829e-05,0.15821,0.244157,0.1,3.9,11.3,81.0,202.0,100,2642959719
54118,4930,2.54689e-05,0.990886,2.77257e-05,0.398813,0.252029,0.4,5.2,12.1,80.4,202.2,100,2642959719
54120,4968,2.54483e-05,0.99098,2.82057e-05,0.121434,0.253013,0.1,3.5,12.0,75.6,204.1,100,2642959719
54122,5012,2.52907e-05,0.990901,2.85486e-05,0.29266,0.242544,0.3,4.6,11.0,74.5,194.8,100,2642959719
54124,4944,2.61291e-05,0.990846,2.94971e-05,0.22339,0.225572,0.5,4.3,11.3,76.8,205.8,100,2642959719
54126,4918,2.52541e-05,0.990801,2.94629e-05,0.238658,0.200485,0.1,4.5,11.8,78.2,203.7,100,2642959719
54128,4964,2.55694e-05,0.990826,2.83886e-05,0.296138,0.234175,0.5,4.6,11.9,76.8,199.2,100,2642959719
54130,4981,2.53524e-05,0.990817,2.98057e-05,0.169503,0.223757,0.1,4.1,12.3,81.1,200.0,100,2642959719
54132,4859,2.54917e-05,0.990837,2.73829e-05,0.195596,0.258631,0.7,3.4,12.4,74.7,200.6,100,2642959719
54134,4954,2.51102e-05,0.99081,2.84229e-05,0.217985,0.253672,0.3,3.2,11.1,78.7,195.7,100,2642959719
54136,4937,2.58321e-05,0.990807,2.81486e-05,0.147509,0.25661,0.1,3.7,12.8,76.8,199.3,100,2642959719
54138,4976,2.6803e-05,0.990781,2.79543e-05,0.188343,0.232738,0.4,3.9,12.0,75.0,204.6,100,2642959719
54140,4967,2.56196e-05,0.990772,2.80686e-05,0.203965,0.224,0.4,4.4,11.7,78.3,193.7,100,2642959719
54142,4950,2.51925e-05,0.990731,2.86971e-05,0.132926,0.216373,0.2,3.6,13.7,74.4,200.0,100,2642959719
54144,4838,2.48452e-05,0.990746,2.86971e-05,0.153883,0.237671,0.1,4.3,13.5,75.1,205.3,100,2642959719
54146,4929,2.4546e-05,0.990641,2.91886e-05,0.120592,0.221434,0.2,3.0,12.9,81.8,202.9,100,2642959719
54148,4948,2.54483e-05,0.99058,2.92686e-05,0.137608,0.20993,0.1,3.7,12.1,78.7,204.9,100,2642959719
54150,4961,2.53204e-05,0.990633,2.77943e-05,0.298491,0.240658,0.5,4.9,10.7,72.3,195.7,100,2642959719
54152,4873,2.60126e-05,0.990722,2.71543e-05,0.240389,0.261988,0.5,4.2,11.2,75.8,191.2,100,2642959719
54154,4920,2.59737e-05,0.990699,2.864e-05,0.14015,0.241837,0.1,3.7,10.1,75.5,204.0,100,2642959719
54156,5005,2.56402e-05,0.990691,2.83543e-05,0.147174,0.26326,0.1,3.9,11.3,78.0,198.7,100,2642959719
54158,4940,2.53295e-05,0.990762,2.83314e-05,0.287553,0.241933,0.4,4.2,13.5,75.6,195.7,100,2642959719
54160,4924,2.52085e-05,0.990765,2.90971e-05,0.145196,0.199736,0.1,3.8,11.4,77.6,204.8,100,2642959719
54162,4928,2.57133e-05,0.990789,2.87314e-05,0.259163,0.234246,0.2,4.5,12.6,78.3,201.4,100,2642959719
54164,4949,2.66111e-05,0.990808,2.91429e-05,0.281406,0.206516,0.4,5.0,13.4,79.2,207.6,100,2642959719
54166,4945,2.64809e-05,0.990792,2.92229e-05,0.252062,0.236502,0.3,4.2,10.9,77.2,203.7,100,2642959719
54168,5009,2.596e-05,0.990785,2.79886e-05,0.145617,0.22589,0.0,3.5,13.9,77.7,199.4,100,2642959719
