Year,popSizeP1,PiP1,FitnessP1,meanHetP1,BP1,FROHP1,avgvStrDelP1,avgStrDelP1,avgModDelP1,avgWkDelP1,avgNeutP1,popSizeP2,PiP2,FitnessP2,meanHetP2,BP2,FROHP2,avgvStrDelP2,avgStrDelP2,avgModDelP2,avgWkDelP2,avgNeutP2,popSizeP3,PiP3,FitnessP3,meanHetP3,BP3,FROHP3,avgvStrDelP3,avgStrDelP3,avgModDelP3,avgWkDelP3,avgNeutP3, KCrater,Seed
55566,1972,2.57316e-05,0.990523,2.81714e-05,0.197614,0.275328,0.4,5.2,8.0,65.9,236.9,112,2.11034e-05,0.986778,2.48343e-05,0.225337,0.335332,0.4,5.9,7.9,65.4,229.4,10,2.52359e-05,0.986596,2.79429e-05,0.191988,0.268054,0.6,5.0,7.9,70.7,226.8,100,1507347595
55568,1948,2.54483e-05,0.990671,2.92229e-05,0.504185,0.231543,1.1,6.2,11.4,66.3,235.7,119,2.18321e-05,0.985824,2.41486e-05,0.163468,0.377485,0.2,4.7,6.6,63.2,227.5,38,2.1759e-05,0.961986,2.74857e-05,0.161928,0.272536,0.4,4.1,6.7,70.8,226.5,100,1507347595
55570,2005,2.63278e-05,0.990573,2.904e-05,0.244576,0.238525,0.6,6.3,9.2,68.2,233.5,115,2.24055e-05,0.98692,2.504e-05,0.207506,0.331401,0.3,6.1,6.6,67.5,232.6,20,2.3534e-05,1.2072,2.43086e-05,0.189897,0.359947,1.2,5.4,7.3,66.6,227.6,100,1507347595
55572,2006,2.56174e-05,0.990334,2.79543e-05,0.179341,0.27022,0.1,5.5,8.1,66.5,231.2,113,2.18732e-05,0.986724,2.48914e-05,0.206063,0.356214,0.1,5.4,9.4,65.6,225.1,20,2.31091e-05,1.17506,2.544e-05,0.288668,0.332249,1.3,6.7,6.9,67.0,235.3,100,1507347595
55574,1973,2.45894e-05,0.990318,2.84914e-05,0.279905,0.244863,0.5,4.3,8.2,66.9,237.0,119,2.00434e-05,0.987636,2.57371e-05,0.222917,0.337025,0.3,6.8,6.4,63.9,238.4,25,2.01256e-05,1.16892,2.41143e-05,0.289778,0.366632,1.5,6.6,7.1,67.7,229.8,100,1507347595
55576,1964,2.57453e-05,0.990511,2.84914e-05,0.221704,0.254289,0.3,4.5,8.4,67.4,235.6,117,2.22113e-05,0.986293,2.464e-05,0.187315,0.373549,0.3,5.3,9.2,67.1,232.9,26,2.11194e-05,0.827409,2.32229e-05,0.315182,0.386756,1.7,7.9,5.8,71.8,232.8,100,1507347595
55578,1992,2.52633e-05,0.990732,2.76571e-05,0.196418,0.268413,0.3,4.7,8.0,67.3,227.6,126,2.09846e-05,0.984453,2.32229e-05,0.228698,0.391013,0.4,5.9,6.6,63.0,229.4,19,1.82524e-05,0.779417,2.184e-05,0.251037,0.468116,1.2,7.4,6.4,69.6,229.0,100,1507347595
55580,1950,2.57362e-05,0.990945,2.82171e-05,0.297463,0.250808,0.5,4.8,8.6,70.6,234.0,121,2.20491e-05,0.98058,2.42971e-05,0.194805,0.386256,0.3,6.1,7.8,66.5,227.3,28,1.98172e-05,0.788638,2.11314e-05,0.215375,0.472959,1.7,8.1,7.8,72.9,232.5,100,1507347595
55582,1937,2.5462e-05,0.990768,2.82629e-05,0.170154,0.257022,0.1,5.3,7.6,67.7,236.4,46,2.17544e-05,0.984655,2.33943e-05,0.173032,0.401428,0.2,5.6,6.4,62.1,226.8,15,2.03678e-05,0.779302,2.26743e-05,0.195784,0.423032,1.2,7.8,7.5,72.5,228.4,100,1507347595
55584,2000,2.53547e-05,0.990653,2.77143e-05,0.20348,0.264891,0.5,5.7,9.2,63.3,228.3,46,2.20971e-05,0.985032,2.45943e-05,0.188822,0.347558,0.3,4.8,6.4,61.5,236.7,27,1.96139e-05,0.830345,2.16229e-05,0.254572,0.44713,1.0,6.7,8.5,73.2,227.5,100,1507347595
55586,1994,2.50668e-05,0.990599,2.75543e-05,0.334127,0.268265,0.7,4.2,9.2,66.8,231.0,52,2.08155e-05,0.987458,2.46171e-05,0.161863,0.359944,0.1,4.4,7.0,62.6,231.2,21,1.78458e-05,0.817852,2.00571e-05,0.153006,0.510628,1.2,8.2,8.4,76.0,223.5,100,1507347595
55588,1983,2.45871e-05,0.990598,2.78857e-05,0.136771,0.264057,0.1,4.3,9.6,69.9,235.0,49,2.11171e-05,0.985211,2.41714e-05,0.164213,0.398688,0.2,5.2,7.1,65.6,236.9,25,1.81291e-05,0.822103,2.04114e-05,0.256597,0.502092,1.2,8.7,9.0,72.6,224.5,100,1507347595
55590,1997,2.5775e-05,0.990573,2.83657e-05,0.246772,0.267505,0.5,4.8,9.6,69.6,227.1,52,2.05597e-05,0.983545,2.35886e-05,0.137184,0.380322,0.2,4.3,6.4,66.1,236.7,20,1.66236e-05,0.818056,1.77486e-05,0.239823,0.583085,1.2,9.1,9.0,71.3,226.4,100,1507347595
55592,1994,2.49914e-05,0.990505,2.85257e-05,0.182826,0.267151,0.3,4.9,8.3,67.8,229.2,47,2.10211e-05,0.982721,2.50629e-05,0.164242,0.371626,0.3,4.8,5.4,62.7,235.3,22,1.87847e-05,0.861029,1.97829e-05,0.28088,0.526138,1.0,7.6,9.5,67.9,228.4,100,1507347595
55594,1998,2.54986e-05,0.99067,2.83314e-05,0.279403,0.267667,0.6,5.6,9.0,68.0,227.5,53,2.17019e-05,0.984677,2.41943e-05,0.158259,0.397094,0.4,5.3,5.2,62.5,240.0,20,1.98013e-05,0.847492,2.13143e-05,0.105843,0.453286,0.5,4.1,9.5,70.8,227.0,100,1507347595
55596,1971,2.50897e-05,0.990724,2.78857e-05,0.162017,0.285651,0.3,3.9,9.5,65.0,228.3,52,2.07356e-05,0.982257,2.432e-05,0.158325,0.364012,0.3,3.8,7.0,63.5,237.1,31,1.84329e-05,0.858646,2.22286e-05,0.113927,0.443411,0.4,4.4,10.3,69.8,228.3,100,1507347595
