Year,popSizeP1,PiP1,FitnessP1,meanHetP1,BP1,FROHP1,avgvStrDelP1,avgStrDelP1,avgModDelP1,avgWkDelP1,avgNeutP1,popSizeP2,PiP2,FitnessP2,meanHetP2,BP2,FROHP2,avgvStrDelP2,avgStrDelP2,avgModDelP2,avgWkDelP2,avgNeutP2,popSizeP3,PiP3,FitnessP3,meanHetP3,BP3,FROHP3,avgvStrDelP3,avgStrDelP3,avgModDelP3,avgWkDelP3,avgNeutP3, KCrater,Seed
55604,1961,2.59189e-05,0.990439,2.78171e-05,0.185648,0.258032,0.4,4.7,8.7,69.7,225.5,51,2.196e-05,0.989508,2.37714e-05,0.134738,0.391023,0.2,3.7,6.5,63.9,232.7,33,1.69138e-05,0.953369,2.10971e-05,0.0653321,0.50898,0.0,4.3,8.5,66.2,239.6,100,325524458
55606,2011,2.6072e-05,0.990255,2.86514e-05,0.310812,0.236552,0.7,4.6,9.2,70.4,240.5,49,2.20605e-05,0.989025,2.50629e-05,0.209309,0.356449,0.4,5.2,7.7,63.8,237.6,30,1.6185e-05,0.888649,1.88343e-05,0.0512907,0.548453,0.0,4.8,7.7,67.9,247.7,100,325524458
55608,1948,2.50097e-05,0.990048,2.69829e-05,0.131721,0.273356,0.2,3.2,10.2,65.1,228.5,49,2.1743e-05,0.988835,2.35771e-05,0.198144,0.387419,0.4,5.1,6.5,64.2,227.0,26,1.61553e-05,0.922511,2.04e-05,0.0442484,0.52372,0.0,5.4,9.0,64.6,239.3,100,325524458
55610,1981,2.53181e-05,0.989979,2.78286e-05,0.170587,0.244989,0.4,4.6,9.6,72.1,229.7,49,2.1044e-05,0.986387,2.24571e-05,0.121104,0.41795,0.1,4.0,8.3,66.3,232.2,21,1.61531e-05,1.20412,1.67543e-05,0.0515062,0.632419,0.0,6.4,9.7,67.8,227.0,100,325524458
55612,1999,2.51262e-05,0.990031,2.80914e-05,0.363356,0.248699,0.4,4.3,9.1,69.9,234.5,53,2.25768e-05,0.988516,2.472e-05,0.212775,0.364233,0.4,4.8,7.8,64.4,235.0,18,1.55043e-05,1.12601,1.76114e-05,0.0480499,0.600991,0.0,6.7,9.4,67.5,226.7,100,325524458
55614,1964,2.47402e-05,0.990421,2.81143e-05,0.322354,0.271324,0.7,4.9,7.9,67.3,240.2,46,2.15168e-05,0.988102,2.50971e-05,0.178714,0.343442,0.3,5.2,7.5,63.7,236.6,23,1.49949e-05,1.16413,1.83429e-05,0.0484272,0.56484,0.0,6.3,9.8,66.0,226.6,100,325524458
55616,1975,2.559e-05,0.990391,2.77829e-05,0.215501,0.237989,0.7,5.5,8.7,63.9,232.7,46,2.33375e-05,0.987889,2.37943e-05,0.143293,0.388871,0.4,3.5,7.8,66.1,228.6,16,1.50154e-05,1.2222,1.72686e-05,0.0503737,0.611456,0.0,7.0,10.2,65.4,227.7,100,325524458
55618,1983,2.506e-05,0.990712,2.8e-05,0.246777,0.254996,0.3,4.7,6.8,67.2,224.0,47,2.08498e-05,0.987107,2.50057e-05,0.121931,0.349761,0.0,3.4,7.8,67.3,223.9,18,1.26031e-05,0.846412,1.67086e-05,0.0651491,0.650724,0.0,9.0,11.0,61.3,231.4,100,325524458
55620,1999,2.53318e-05,0.990682,2.88457e-05,0.157278,0.25205,0.3,4.0,9.5,66.0,230.2,49,2.12678e-05,0.985711,2.42971e-05,0.141651,0.380521,0.1,4.6,7.7,67.3,227.0,23,1.17807e-05,0.83202,1.50743e-05,0.0488745,0.683601,0.0,7.6,10.4,60.3,237.3,100,325524458
55622,1952,2.54346e-05,0.990701,2.85829e-05,0.313182,0.249939,0.8,4.0,8.8,69.4,231.9,59,2.1462e-05,0.985376,2.64229e-05,0.174875,0.311076,0.3,4.2,8.3,66.2,227.2,25,1.13124e-05,0.830152,1.33029e-05,0.0386382,0.738921,0.0,8.1,10.7,61.2,235.4,100,325524458
55624,1978,2.50371e-05,0.990733,2.85829e-05,0.19915,0.258916,0.4,4.7,10.2,69.4,226.3,48,2.23849e-05,0.983789,2.50057e-05,0.141133,0.340527,0.1,4.2,7.6,65.7,228.8,28,1.05563e-05,0.832533,1.05829e-05,0.0395087,0.801927,0.0,7.6,10.7,63.9,242.3,100,325524458
55626,1976,2.4434e-05,0.990959,2.83086e-05,0.201915,0.2483,0.2,4.9,9.7,68.9,232.2,50,2.22204e-05,0.985976,2.60343e-05,0.15608,0.323435,0.3,3.6,8.6,66.7,235.7,29,1.09629e-05,0.821683,1.12114e-05,0.0317639,0.782169,0.0,7.4,10.0,60.8,235.7,100,325524458
55628,2011,2.50051e-05,0.990934,2.78743e-05,0.417906,0.276826,0.8,4.6,9.3,67.7,228.0,42,2.05848e-05,0.983444,2.52914e-05,0.139086,0.349876,0.1,4.0,9.2,66.0,222.8,21,9.63335e-06,0.82469,1.18743e-05,0.0445469,0.77356,0.0,7.1,9.9,62.7,235.4,100,325524458
