Year,popSizeP1,PiP1,FitnessP1,meanHetP1,BP1,FROHP1,avgvStrDelP1,avgStrDelP1,avgModDelP1,avgWkDelP1,avgNeutP1,popSizeP2,PiP2,FitnessP2,meanHetP2,BP2,FROHP2,avgvStrDelP2,avgStrDelP2,avgModDelP2,avgWkDelP2,avgNeutP2,popSizeP3,PiP3,FitnessP3,meanHetP3,BP3,FROHP3,avgvStrDelP3,avgStrDelP3,avgModDelP3,avgWkDelP3,avgNeutP3, KCrater,Seed
55604,1970,2.45483e-05,0.989089,2.67429e-05,0.176747,0.273774,0.3,5.5,9.6,71.5,214.4,51,2.02079e-05,0.987467,2.19657e-05,0.127481,0.410299,0.3,3.7,7.7,60.6,217.1,27,1.40697e-05,1.22563,1.76343e-05,0.126246,0.596858,0.4,4.9,13.4,62.5,226.0,100,1289103163
55606,2012,2.44043e-05,0.989078,2.72229e-05,0.178977,0.26424,0.2,5.0,9.6,60.0,222.3,51,1.95066e-05,0.987844,2.19771e-05,0.150505,0.434539,0.4,4.8,8.2,59.8,211.7,24,1.39966e-05,1.22599,1.62286e-05,0.13993,0.634423,0.3,5.7,12.6,65.2,222.9,100,1289103163
55608,1991,2.3952e-05,0.989249,2.77371e-05,0.166695,0.273473,0.2,4.1,8.7,65.9,220.8,50,1.70417e-05,0.987774,2.29143e-05,0.201072,0.405741,0.8,4.3,8.9,63.7,215.7,24,1.46202e-05,1.13806,1.70743e-05,0.111613,0.609498,0.5,5.5,13.3,62.2,222.1,100,1289103163
55610,1956,2.46625e-05,0.989246,2.76229e-05,0.209662,0.259649,0.1,7.0,8.9,69.1,217.7,46,1.93992e-05,0.983901,2.25029e-05,0.141498,0.430182,0.5,4.1,8.1,62.1,215.3,29,1.48761e-05,1.12633,1.72457e-05,0.1522,0.613637,0.6,5.8,13.2,64.3,219.4,100,1289103163
55612,1993,2.46396e-05,0.989166,2.75771e-05,0.223512,0.262627,0.5,5.6,10.5,64.1,222.9,46,1.88852e-05,0.984323,2.10743e-05,0.123101,0.471687,0.6,3.8,7.6,60.4,215.8,28,1.30211e-05,1.11298,1.44114e-05,0.106307,0.685196,0.4,5.0,15.3,62.4,221.3,100,1289103163
55614,1983,2.47927e-05,0.989263,2.74057e-05,0.252572,0.252551,0.2,5.5,9.4,66.2,217.1,52,1.99612e-05,0.980916,2.15429e-05,0.0743383,0.448466,0.2,2.7,9.5,60.3,215.2,19,1.37567e-05,1.17171,1.53371e-05,0.119014,0.666911,0.6,4.3,14.0,62.4,217.4,100,1289103163
55616,1955,2.36436e-05,0.98911,2.66057e-05,0.260288,0.278417,0.4,4.7,10.6,63.2,213.4,52,1.8225e-05,0.981074,2.08457e-05,0.135258,0.489323,0.4,3.5,9.4,61.3,219.0,26,1.32107e-05,1.12294,1.43086e-05,0.136087,0.682771,0.6,4.8,14.0,62.0,217.1,100,1289103163
55618,1996,2.38744e-05,0.98912,2.84229e-05,0.232758,0.240206,0.2,6.8,10.0,67.8,218.5,43,1.90246e-05,0.99021,2.08229e-05,0.0698768,0.491178,0.2,2.4,8.6,57.5,220.2,20,1.33615e-05,1.15943,1.44686e-05,0.105528,0.681212,0.4,4.4,14.3,61.9,220.0,100,1289103163
55620,1978,2.41759e-05,0.989278,2.68114e-05,0.17088,0.300888,0.2,4.8,7.9,65.9,219.9,53,1.90702e-05,0.989843,2.216e-05,0.061741,0.411268,0.0,2.1,8.3,60.4,219.9,34,1.25437e-05,1.17536,1.37829e-05,0.117734,0.688973,0.5,4.4,13.2,65.0,217.8,100,1289103163
55622,1982,2.3205e-05,0.989154,2.77829e-05,0.296173,0.248806,0.3,5.4,8.3,63.1,221.9,47,1.83735e-05,0.989405,2.19314e-05,0.101564,0.448744,0.3,3.4,9.9,60.2,219.1,23,1.19497e-05,1.11632,1.23771e-05,0.0870187,0.735434,0.3,4.1,13.3,62.4,215.4,100,1289103163
55624,1939,2.55922e-05,0.988879,2.736e-05,0.183351,0.272485,0.2,5.2,9.3,70.6,215.3,50,1.87687e-05,0.98901,2.03657e-05,0.0726487,0.480428,0.0,2.8,8.7,63.4,216.4,28,1.11045e-05,1.15128,1.368e-05,0.0816174,0.712929,0.1,3.8,12.8,58.7,213.3,100,1289103163
55626,1993,2.44226e-05,0.98884,2.69143e-05,0.138913,0.265305,0.1,5.4,9.6,65.1,216.5,52,1.81816e-05,0.989324,2.07543e-05,0.0742798,0.479901,0.2,2.3,8.3,63.2,215.7,28,1.18698e-05,1.1308,1.19314e-05,0.0652047,0.748285,0.2,3.1,12.5,60.5,215.2,100,1289103163
55628,2016,2.4932e-05,0.988749,2.65257e-05,0.204963,0.293584,0.3,5.6,9.4,65.7,213.1,46,1.85174e-05,0.988234,2.06514e-05,0.0628118,0.488578,0.2,2.3,11.1,61.3,217.1,24,1.15865e-05,1.15834,1.17829e-05,0.0972466,0.757121,0.4,3.8,10.9,61.3,214.6,100,1289103163
55630,1976,2.46077e-05,0.988649,2.74057e-05,0.236906,0.266411,0.4,6.0,10.9,66.2,220.2,42,1.857e-05,0.989189,2.112e-05,0.0634734,0.466782,0.2,2.0,9.8,61.3,215.7,25,1.15682e-05,1.19518,1.20343e-05,0.0846843,0.747398,0.4,3.8,12.0,62.0,212.8,100,1289103163
55632,1975,2.54118e-05,0.988437,2.73829e-05,0.186562,0.27084,0.0,5.2,11.1,68.9,220.3,48,1.84512e-05,0.988575,2.17714e-05,0.0626007,0.444527,0.1,2.2,11.1,62.8,219.3,22,1.20046e-05,1.16918,1.20571e-05,0.0903194,0.755774,0.3,4.2,11.6,62.6,213.5,100,1289103163
55634,1995,2.50188e-05,0.988411,2.87543e-05,0.216493,0.227615,0.5,5.6,11.3,68.8,217.0,47,1.8305e-05,0.987706,2.28686e-05,0.08646,0.437896,0.1,3.1,9.5,62.3,218.2,18,1.14015e-05,1.18152,1.33943e-05,0.0776282,0.715227,0.4,3.4,12.0,60.5,217.5,100,1289103163
55636,1954,2.51925e-05,0.988549,2.68229e-05,0.220192,0.274624,0.5,5.0,9.0,66.8,221.0,48,1.74072e-05,0.987394,1.98971e-05,0.0636376,0.514799,0.1,1.9,9.1,59.7,220.1,24,2.29286e-05,0.882685,2.22514e-05,0.147504,0.435638,0.2,3.5,11.6,63.3,218.9,100,1289103163
55638,1967,2.38904e-05,0.988667,2.73486e-05,0.226173,0.250383,0.3,5.9,11.1,64.5,215.0,46,1.77407e-05,0.9871,2.01029e-05,0.0654558,0.507815,0.1,2.6,10.6,60.2,216.4,31,2.0297e-05,0.900098,2.44229e-05,0.146209,0.365912,0.0,4.1,10.9,64.7,219.2,100,1289103163
55640,1990,2.51239e-05,0.988866,2.82171e-05,0.268845,0.260371,0.3,4.5,10.5,68.9,224.1,49,1.804e-05,0.988007,2.00343e-05,0.0551259,0.511036,0.1,1.6,11.0,59.6,215.5,25,2.14392e-05,0.845644,2.19314e-05,0.118128,0.441773,0.0,4.2,12.8,62.6,219.5,100,1289103163
55642,1974,2.43175e-05,0.988783,2.69029e-05,0.169862,0.266644,0.2,4.2,10.7,65.9,219.1,51,1.7695e-05,0.988233,1.80229e-05,0.0646,0.568354,0.1,2.5,10.4,59.2,217.8,24,1.93375e-05,0.864888,2.26629e-05,0.121862,0.416202,0.0,3.9,11.9,65.8,216.4,100,1289103163
55644,1997,2.48064e-05,0.989017,2.76571e-05,0.181547,0.251783,0.2,5.1,12.0,68.2,221.8,51,1.81154e-05,0.986855,1.98286e-05,0.0750684,0.504782,0.1,2.8,9.7,60.1,215.8,25,1.89492e-05,0.846846,2.21714e-05,0.131145,0.415146,0.0,4.9,13.2,61.8,217.0,100,1289103163
55646,1956,2.52953e-05,0.989146,2.74971e-05,0.305123,0.271523,0.3,6.2,10.0,67.3,217.3,47,1.76265e-05,0.987115,2.03429e-05,0.0766588,0.490066,0.2,2.5,10.1,61.1,214.8,26,1.78527e-05,0.844944,2.05486e-05,0.100963,0.49161,0.0,3.6,13.7,64.0,220.0,100,1289103163
55648,1936,2.50623e-05,0.989168,2.73943e-05,0.199737,0.262646,0.3,4.8,10.9,65.8,220.0,45,1.76402e-05,0.988427,1.976e-05,0.0772939,0.508193,0.2,3.2,11.5,63.4,217.2,25,1.88852e-05,0.851084,2.152e-05,0.126417,0.453508,0.0,4.6,13.3,60.3,212.3,100,1289103163
55650,2021,2.5574e-05,0.988858,2.75771e-05,0.190977,0.267754,0.2,5.5,8.5,66.4,222.9,47,1.77316e-05,0.98795,2.05714e-05,0.0676059,0.462737,0.1,3.2,9.6,60.0,218.2,32,1.69777e-05,0.850578,2.13371e-05,0.18625,0.45131,0.2,5.5,11.5,62.1,219.5,100,1289103163
55652,1987,2.50166e-05,0.988928,2.76114e-05,0.235105,0.260182,0.5,5.9,9.0,68.7,221.8,52,1.83849e-05,0.987889,1.93029e-05,0.0611344,0.536282,0.1,1.8,9.1,58.3,217.7,20,1.71308e-05,0.849047,2.11314e-05,0.144261,0.471385,0.1,5.5,9.8,65.0,218.3,100,1289103163
55654,2001,2.43724e-05,0.988868,2.68571e-05,0.240651,0.287617,0.7,5.6,10.5,65.8,221.1,51,1.86179e-05,0.987693,1.93029e-05,0.0951444,0.503648,0.3,3.3,10.4,62.9,219.1,30,1.58104e-05,0.859607,2.02514e-05,0.147102,0.477829,0.1,5.7,9.1,60.1,220.1,100,1289103163
55656,2002,2.42193e-05,0.988752,2.67314e-05,0.173206,0.270177,0.1,5.3,11.1,69.6,217.8,53,1.68589e-05,0.986822,1.93829e-05,0.0646209,0.505488,0.1,2.8,9.9,61.6,219.0,24,1.74141e-05,0.87223,2.19429e-05,0.12758,0.437607,0.1,5.1,11.0,63.5,222.7,100,1289103163
55658,1989,2.54597e-05,0.988782,2.776e-05,0.216285,0.25586,0.4,5.7,10.1,69.3,220.9,53,1.79235e-05,0.988202,1.992e-05,0.0623892,0.507307,0.1,2.4,9.2,61.7,219.2,21,1.95431e-05,0.841745,2.05943e-05,0.129348,0.461261,0.0,6.8,11.8,60.8,219.0,100,1289103163
55660,1995,2.45049e-05,0.989018,2.76914e-05,0.18591,0.264972,0.2,5.3,10.2,66.7,222.9,46,1.75123e-05,0.98872,2.02971e-05,0.0576543,0.495466,0.0,2.5,8.6,58.9,228.9,24,1.94792e-05,0.845707,2.11429e-05,0.155442,0.481508,0.0,7.5,11.1,60.6,219.8,100,1289103163
55662,1952,2.44363e-05,0.988787,2.75886e-05,0.184827,0.273792,0.0,6.8,9.8,64.6,217.2,50,1.70874e-05,0.987541,2.03086e-05,0.0435208,0.484437,0.0,2.5,9.7,58.7,223.3,26,1.76585e-05,0.864225,2.056e-05,0.118886,0.468123,0.0,6.4,13.8,65.8,212.8,100,1289103163
