Year,popSizeP1,PiP1,FitnessP1,meanHetP1,BP1,FROHP1,avgvStrDelP1,avgStrDelP1,avgModDelP1,avgWkDelP1,avgNeutP1,popSizeP2,PiP2,FitnessP2,meanHetP2,BP2,FROHP2,avgvStrDelP2,avgStrDelP2,avgModDelP2,avgWkDelP2,avgNeutP2,popSizeP3,PiP3,FitnessP3,meanHetP3,BP3,FROHP3,avgvStrDelP3,avgStrDelP3,avgModDelP3,avgWkDelP3,avgNeutP3, KCrater,Seed
55604,1979,2.48704e-05,0.988918,2.68914e-05,0.30363,0.259097,0.3,5.6,10.3,76.7,204.9,43,2.10257e-05,0.981095,2.30857e-05,0.252998,0.429187,0.1,5.9,10.4,71.4,208.9,32,1.71308e-05,1.16887,1.944e-05,0.873608,0.476,2.0,6.4,8.6,70.7,206.7,100,826932635
55606,1986,2.46099e-05,0.989019,2.75314e-05,0.393697,0.269692,0.4,6.1,9.6,76.2,219.3,50,1.93512e-05,0.979587,2.38514e-05,0.349659,0.394773,0.3,6.7,12.9,71.5,218.0,25,1.64203e-05,1.19965,1.81143e-05,0.597063,0.541539,1.6,5.9,8.7,69.3,206.7,100,826932635
55608,1976,2.48909e-05,0.988843,2.856e-05,0.261694,0.256901,0.2,4.7,11.2,76.9,212.1,55,1.97579e-05,0.977875,2.30514e-05,0.193129,0.428881,0.1,7.1,10.8,75.2,217.7,25,1.52416e-05,0.874178,1.89829e-05,0.26397,0.508214,1.5,6.8,10.2,68.2,203.3,100,826932635
55610,2000,2.49549e-05,0.988891,2.79543e-05,0.226497,0.240913,0.3,5.9,9.4,74.7,214.3,52,2.02376e-05,0.977617,2.41943e-05,0.287905,0.385533,0.2,7.2,12.2,75.8,213.1,25,1.29617e-05,0.873326,1.59086e-05,0.184283,0.605796,1.5,6.3,8.7,70.9,205.3,100,826932635
55612,1975,2.5325e-05,0.988772,2.79657e-05,0.214674,0.267294,0.3,5.6,11.1,74.7,204.3,51,2.09549e-05,0.975335,2.36e-05,0.255091,0.399901,0.1,7.5,10.1,78.2,212.0,18,1.26008e-05,0.830225,1.71771e-05,0.292405,0.576164,2.5,7.2,6.7,69.3,205.1,100,826932635
55614,1983,2.51765e-05,0.988881,2.784e-05,0.201515,0.282021,0.3,5.7,10.4,75.6,207.2,48,2.03404e-05,0.974431,2.21371e-05,0.159503,0.432515,0.1,6.6,11.4,73.7,212.3,19,1.24363e-05,0.827801,1.42514e-05,0.324638,0.659455,1.9,6.0,6.5,71.5,206.3,100,826932635
55616,1977,2.54141e-05,0.988705,2.83429e-05,0.342946,0.255052,0.6,6.5,8.2,79.2,212.3,50,2.03884e-05,0.973712,2.20686e-05,0.236937,0.451989,0.1,6.4,11.1,74.3,212.4,31,1.29457e-05,0.801958,1.48457e-05,0.197334,0.643469,1.9,6.1,7.8,70.2,206.5,100,826932635
55618,1987,2.40868e-05,0.988819,2.85257e-05,0.39945,0.256962,0.4,6.6,10.8,76.5,209.8,51,2.04546e-05,0.972487,2.26171e-05,0.127499,0.423284,0.0,5.9,11.3,73.6,213.0,29,1.13307e-05,0.873688,1.47314e-05,0.210569,0.666517,1.6,4.4,7.8,71.7,207.1,100,826932635
55620,1975,2.59532e-05,0.988842,2.69143e-05,0.204102,0.273313,0.2,5.9,11.0,77.0,208.4,55,2.0763e-05,0.97336,2.31314e-05,0.270084,0.424195,0.1,6.9,10.7,76.7,218.2,15,9.79098e-06,1.05072,1.33486e-05,0.265553,0.693136,2.1,6.2,7.0,70.1,209.9,100,826932635
55622,1993,2.49252e-05,0.989042,2.74171e-05,0.274613,0.275949,0.1,5.3,9.8,70.7,207.1,54,2.00891e-05,0.971604,2.248e-05,0.222954,0.450791,0.1,6.1,11.0,74.9,215.3,21,1.0225e-05,0.829309,1.37371e-05,0.261688,0.67411,2.1,6.1,6.7,69.0,210.2,100,826932635
