Year,popSizeP1,PiP1,FitnessP1,meanHetP1,BP1,FROHP1,avgvStrDelP1,avgStrDelP1,avgModDelP1,avgWkDelP1,avgNeutP1,KCrater,Seed
54000,4966,2.32804e-05,0.992165,2.58629e-05,0.182716,0.263946,0.4,4.6,8.2,62.6,200.5,100,4103530905
54002,4977,2.408e-05,0.992241,2.65143e-05,0.294008,0.279432,0.5,5.5,8.9,60.2,208.9,100,4103530905
54004,4971,2.34152e-05,0.99219,2.664e-05,0.207926,0.256189,0.5,4.4,6.0,62.7,201.2,100,4103530905
54006,4993,2.27413e-05,0.992054,2.62514e-05,0.196745,0.253031,0.4,5.0,9.1,62.3,206.1,100,4103530905
54008,4969,2.3422e-05,0.991906,2.66514e-05,0.340479,0.256954,0.6,5.9,8.2,65.4,199.8,100,4103530905
54010,5003,2.42878e-05,0.991886,2.56571e-05,0.216498,0.278987,0.5,4.5,8.8,60.9,196.1,100,4103530905
54012,4950,2.26019e-05,0.99187,2.59543e-05,0.360402,0.263709,0.9,5.8,8.0,61.8,194.5,100,4103530905
54014,4984,2.34837e-05,0.991887,2.72229e-05,0.159749,0.245634,0.2,4.4,9.5,61.6,207.8,100,4103530905
54016,4905,2.26385e-05,0.991955,2.57943e-05,0.270213,0.270353,0.9,6.2,8.9,64.8,199.1,100,4103530905
54018,4961,2.30885e-05,0.991943,2.63086e-05,0.29631,0.259853,0.6,4.6,7.3,59.7,200.6,100,4103530905
54020,5016,2.34974e-05,0.991921,2.632e-05,0.296546,0.257311,0.4,5.3,8.5,61.0,203.1,100,4103530905
54022,4935,2.41965e-05,0.99187,2.56914e-05,0.268395,0.254316,0.2,5.6,10.2,57.2,201.9,100,4103530905
54024,4965,2.30543e-05,0.992092,2.49029e-05,0.341848,0.307197,0.5,4.5,7.8,57.7,198.9,100,4103530905
54026,4972,2.37304e-05,0.992128,2.58057e-05,0.163647,0.274257,0.3,4.6,8.6,60.8,205.9,100,4103530905
54028,4946,2.40777e-05,0.992211,2.62286e-05,0.176068,0.243656,0.3,5.4,8.8,63.6,206.6,100,4103530905
54030,4974,2.37693e-05,0.992134,2.64457e-05,0.299529,0.263625,0.3,6.1,8.5,59.9,206.1,100,4103530905
54032,4943,2.31685e-05,0.992059,2.61029e-05,0.164428,0.281202,0.2,4.3,8.5,61.4,200.7,100,4103530905
54034,4950,2.31342e-05,0.992066,2.60114e-05,0.140749,0.264827,0.1,3.7,9.4,60.5,207.5,100,4103530905
54036,5007,2.39041e-05,0.992093,2.61486e-05,0.218609,0.248871,0.5,6.7,9.1,59.9,200.6,100,4103530905
54038,5003,2.3189e-05,0.992043,2.62514e-05,0.211387,0.27558,0.4,6.3,8.3,60.4,199.8,100,4103530905
54040,4968,2.35134e-05,0.992,2.616e-05,0.221505,0.245139,0.4,5.3,9.2,59.3,199.6,100,4103530905
54042,4986,2.33581e-05,0.99196,2.64571e-05,0.231932,0.244838,0.5,6.0,8.3,59.4,201.1,100,4103530905
54044,4936,2.36025e-05,0.991914,2.56457e-05,0.183772,0.252721,0.4,5.2,7.3,58.6,197.5,100,4103530905
54046,4895,2.40503e-05,0.991971,2.64457e-05,0.148445,0.274177,0.1,4.7,8.8,59.0,202.9,100,4103530905
54048,4923,2.41028e-05,0.99183,2.60686e-05,0.268973,0.262839,0.4,4.4,10.5,60.7,209.5,100,4103530905
54050,4913,2.31822e-05,0.991824,2.59086e-05,0.18995,0.265087,0.4,5.2,9.2,56.3,198.8,100,4103530905
54052,4989,2.35134e-05,0.99195,2.624e-05,0.147775,0.271473,0.1,4.6,7.0,59.1,203.7,100,4103530905
54054,4981,2.35637e-05,0.992003,2.50971e-05,0.191909,0.295087,0.0,6.2,7.7,57.3,205.8,100,4103530905
54056,4986,2.39817e-05,0.992074,2.60914e-05,0.169022,0.266124,0.3,4.8,8.7,59.1,197.1,100,4103530905
54058,4975,2.27916e-05,0.992113,2.64686e-05,0.25583,0.261727,0.4,3.9,8.2,59.2,203.1,100,4103530905
54060,4977,2.28898e-05,0.99208,2.52914e-05,0.204305,0.296226,0.5,4.2,7.5,59.7,201.6,100,4103530905
54062,4921,2.3783e-05,0.991991,2.616e-05,0.216774,0.295085,0.3,6.4,10.9,64.5,194.9,100,4103530905
54064,4969,2.40685e-05,0.991904,2.624e-05,0.308669,0.270322,0.6,4.9,8.6,59.7,199.4,100,4103530905
54066,4975,2.39794e-05,0.992062,2.64343e-05,0.157325,0.244639,0.3,4.7,8.9,59.1,205.5,100,4103530905
54068,4990,2.34289e-05,0.992164,2.62971e-05,0.141719,0.266958,0.1,4.3,6.6,60.7,203.2,100,4103530905
54070,4908,2.28281e-05,0.992063,2.62057e-05,0.245353,0.267272,0.8,5.6,9.4,60.4,200.3,100,4103530905
54072,4913,2.33558e-05,0.992146,2.62971e-05,0.177094,0.260846,0.3,4.7,8.9,62.3,199.8,100,4103530905
54074,4912,2.26316e-05,0.992083,2.64571e-05,0.282677,0.269095,0.5,4.9,10.3,63.2,199.8,100,4103530905
54076,4948,2.29035e-05,0.991936,2.58857e-05,0.247217,0.266899,0.3,4.5,7.8,61.7,208.0,100,4103530905
54078,4993,2.36025e-05,0.991946,2.71771e-05,0.237546,0.225969,0.5,5.1,8.6,63.6,207.2,100,4103530905
54080,4951,2.40343e-05,0.991987,2.63429e-05,0.264928,0.256717,0.2,5.2,9.5,59.5,203.0,100,4103530905
54082,4949,2.42239e-05,0.991996,2.59543e-05,0.306718,0.261422,0.5,5.7,8.5,61.0,200.1,100,4103530905
54084,5003,2.34403e-05,0.991817,2.70286e-05,0.119032,0.237268,0.1,4.1,8.6,63.7,197.1,100,4103530905
54086,5018,2.41028e-05,0.991799,2.59886e-05,0.305928,0.26869,0.4,6.2,7.3,61.9,197.7,100,4103530905
54088,4936,2.41645e-05,0.991836,2.62171e-05,0.321126,0.24104,0.4,3.8,7.6,59.9,201.6,100,4103530905
54090,4960,2.3687e-05,0.991855,2.66514e-05,0.210497,0.246751,0.6,5.7,8.3,62.5,202.2,100,4103530905
54092,4853,2.43609e-05,0.991906,2.65371e-05,0.193392,0.255294,0.2,4.8,8.5,59.6,200.3,100,4103530905
54094,5000,2.40503e-05,0.991911,2.696e-05,0.184544,0.254884,0.4,4.9,9.7,62.5,205.3,100,4103530905
54096,4933,2.35408e-05,0.991893,2.71429e-05,0.269594,0.232045,0.3,5.1,7.8,63.0,205.6,100,4103530905
54098,4939,2.36825e-05,0.991975,2.64914e-05,0.135164,0.268118,0.2,4.8,8.4,59.9,203.0,100,4103530905
54100,4873,2.32187e-05,0.991933,2.58743e-05,0.220796,0.272699,0.4,5.1,9.6,59.5,199.1,100,4103530905
54102,5026,2.3189e-05,0.991922,2.63086e-05,0.192781,0.243887,0.5,4.8,8.7,63.0,204.2,100,4103530905
54104,4954,2.35705e-05,0.991943,2.65371e-05,0.171965,0.263784,0.2,5.5,7.0,60.4,208.4,100,4103530905
54106,5021,2.45711e-05,0.992008,2.51429e-05,0.151852,0.293686,0.2,4.6,7.3,58.8,200.7,100,4103530905
54108,4901,2.36276e-05,0.992084,2.60457e-05,0.20203,0.270018,0.4,5.5,8.2,61.7,200.4,100,4103530905
54110,4963,2.30885e-05,0.991927,2.62971e-05,0.164671,0.261927,0.2,4.8,8.7,62.0,208.4,100,4103530905
54112,4959,2.4048e-05,0.992013,2.72e-05,0.410222,0.231033,0.6,6.3,9.1,63.1,204.4,100,4103530905
54114,4949,2.28235e-05,0.992033,2.584e-05,0.186494,0.256451,0.3,5.1,10.3,62.0,198.7,100,4103530905
54116,5003,2.34517e-05,0.992039,2.632e-05,0.322419,0.263098,0.3,6.4,8.0,62.3,207.6,100,4103530905
54118,4966,2.42216e-05,0.992068,2.62057e-05,0.188101,0.26515,0.5,4.6,8.5,61.1,198.7,100,4103530905
54120,4914,2.35682e-05,0.992097,2.58057e-05,0.157779,0.271033,0.1,4.8,9.5,62.3,200.5,100,4103530905
54122,5005,2.33215e-05,0.992029,2.72114e-05,0.185788,0.250622,0.5,4.4,9.5,60.6,208.4,100,4103530905
54124,4957,2.34746e-05,0.991978,2.64e-05,0.294348,0.257753,0.4,5.7,9.3,63.9,203.3,100,4103530905
54126,4952,2.29423e-05,0.992023,2.65371e-05,0.421735,0.255471,0.8,6.5,9.4,59.0,201.9,100,4103530905
54128,4972,2.41028e-05,0.992112,2.61257e-05,0.434952,0.279633,0.4,4.4,7.4,61.1,205.2,100,4103530905
54130,4979,2.37807e-05,0.992074,2.54629e-05,0.355961,0.303503,0.4,4.9,9.6,62.3,198.2,100,4103530905
54132,5027,2.31456e-05,0.992062,2.64e-05,0.207516,0.254738,0.4,5.9,9.1,59.9,200.5,100,4103530905
