Year,popSizeP1,PiP1,FitnessP1,meanHetP1,BP1,FROHP1,avgvStrDelP1,avgStrDelP1,avgModDelP1,avgWkDelP1,avgNeutP1,popSizeP2,PiP2,FitnessP2,meanHetP2,BP2,FROHP2,avgvStrDelP2,avgStrDelP2,avgModDelP2,avgWkDelP2,avgNeutP2,popSizeP3,PiP3,FitnessP3,meanHetP3,BP3,FROHP3,avgvStrDelP3,avgStrDelP3,avgModDelP3,avgWkDelP3,avgNeutP3, KCrater,Seed
55566,1955,2.28144e-05,0.989915,2.68114e-05,0.207993,0.266274,0.2,5.6,12.2,68.3,189.4,110,1.98172e-05,0.987177,2.13486e-05,0.0944519,0.422283,0.0,3.9,12.9,59.7,194.2,10,2.38926e-05,0.991586,2.64114e-05,0.296014,0.274439,0.3,5.7,9.7,72.1,186.7,100,827333645
55568,1982,2.28464e-05,0.990152,2.65143e-05,0.300131,0.264854,0.4,6.2,12.0,65.9,184.2,124,1.86453e-05,0.986689,2.24e-05,0.118021,0.414058,0.0,3.8,11.4,65.4,195.9,21,1.92987e-05,0.882945,2.63086e-05,0.931815,0.26263,1.2,6.9,9.6,70.2,192.7,100,827333645
55570,1985,2.32758e-05,0.990177,2.52686e-05,0.147648,0.306957,0.0,5.6,8.2,65.9,189.4,122,1.92233e-05,0.985609,2.13486e-05,0.207322,0.434395,0.2,2.8,11.1,63.9,199.0,27,2.01645e-05,0.853421,2.42971e-05,0.695078,0.334057,0.9,5.8,10.1,69.0,188.0,100,827333645
55572,2024,2.33352e-05,0.989955,2.62514e-05,0.419991,0.28473,0.6,5.5,10.2,64.2,184.6,114,1.92736e-05,0.985424,2.16e-05,0.0976521,0.416582,0.0,3.1,11.5,64.7,195.4,20,1.9422e-05,0.846506,2.22057e-05,0.512579,0.401248,0.9,5.8,9.5,69.1,190.3,100,827333645
55574,1993,2.27207e-05,0.989927,2.57029e-05,0.242185,0.274311,0.9,5.2,9.6,71.1,188.0,115,1.92142e-05,0.987978,2.05943e-05,0.180133,0.453811,0.1,3.0,11.2,64.7,195.9,27,1.98858e-05,0.855758,2.168e-05,0.490047,0.43314,0.8,6.5,8.7,69.8,190.6,100,827333645
55576,1983,2.43632e-05,0.989915,2.60571e-05,0.386615,0.294108,0.6,5.4,10.0,68.1,191.8,119,1.98835e-05,0.987051,2.09257e-05,0.0844477,0.431507,0.0,2.4,10.0,62.4,199.2,41,1.9301e-05,0.842135,2.21371e-05,0.222699,0.414357,0.3,6.7,10.0,66.6,191.8,100,827333645
55578,2002,2.30428e-05,0.990011,2.55657e-05,0.244801,0.305353,0.5,6.2,10.4,62.1,186.5,117,1.91045e-05,0.987312,2.29029e-05,0.228404,0.38143,0.2,3.3,11.0,68.5,198.2,25,1.94723e-05,0.83246,2.22057e-05,0.527195,0.407415,1.1,6.4,10.6,69.3,190.8,100,827333645
55580,2017,2.28875e-05,0.989749,2.57257e-05,0.343337,0.302348,0.4,4.7,10.2,64.4,185.7,116,1.88669e-05,0.986871,2.25829e-05,0.107689,0.406837,0.0,3.4,11.6,66.9,196.8,36,1.9084e-05,0.841452,2.02286e-05,0.297683,0.470876,0.5,5.5,11.6,69.3,186.0,100,827333645
55582,1983,2.40388e-05,0.989847,2.62286e-05,0.20687,0.279375,0.3,6.3,11.6,66.0,186.1,50,1.84329e-05,0.985214,2.048e-05,0.0634395,0.474492,0.0,2.3,11.6,65.7,201.4,27,1.80514e-05,0.836721,2.15657e-05,0.214028,0.437663,0.6,6.2,12.2,69.1,187.5,100,827333645
55584,1957,2.40525e-05,0.989822,2.58514e-05,0.241487,0.282592,0.6,5.8,8.8,66.1,184.6,49,1.95728e-05,0.985469,2.12e-05,0.0723427,0.439772,0.0,2.8,11.9,63.1,200.2,33,1.64615e-05,0.859296,1.92114e-05,0.289099,0.478572,0.6,5.2,10.6,67.8,180.9,100,827333645
55586,1961,2.34015e-05,0.989718,2.59657e-05,0.365504,0.279213,0.5,4.8,10.3,70.4,179.7,49,1.93764e-05,0.987023,2.01714e-05,0.0644195,0.483914,0.0,3.4,11.1,60.9,203.4,31,1.61531e-05,1.16282,1.85714e-05,0.235874,0.507339,0.8,7.8,12.1,65.3,182.6,100,827333645
55588,1974,2.28212e-05,0.99012,2.66057e-05,0.382257,0.278694,0.4,6.0,9.7,70.6,183.8,49,1.86294e-05,0.988112,2.128e-05,0.0739804,0.430844,0.0,2.0,11.6,59.6,195.3,25,1.5068e-05,1.17685,1.73029e-05,0.247838,0.548041,0.9,6.4,12.4,62.6,183.1,100,827333645
55590,1979,2.27824e-05,0.990157,2.52914e-05,0.26518,0.303537,0.2,5.2,9.5,65.2,190.6,51,1.90268e-05,0.987771,2.03657e-05,0.181586,0.455499,0.1,2.7,11.9,61.9,199.3,16,1.49332e-05,1.13315,1.64229e-05,0.222231,0.56805,0.6,7.6,11.8,64.6,187.0,100,827333645
55592,1995,2.37853e-05,0.990287,2.53257e-05,0.544852,0.297755,0.9,5.5,10.4,68.9,182.0,45,1.84763e-05,0.986927,1.97029e-05,0.141448,0.45535,0.1,1.9,11.0,61.7,197.2,28,1.29069e-05,0.831191,2.096e-05,0.240144,0.439928,0.8,6.9,11.0,72.3,179.8,100,827333645
55594,1970,2.27139e-05,0.990106,2.60229e-05,0.203108,0.266627,0.3,5.0,10.0,70.0,186.5,52,2.00959e-05,0.986292,2.21029e-05,0.134909,0.426956,0.1,3.7,10.8,67.1,196.0,21,1.64432e-05,0.775606,1.73714e-05,0.201757,0.554462,0.7,7.4,12.2,68.3,180.7,100,827333645
55596,1969,2.28418e-05,0.990345,2.66514e-05,0.340819,0.28213,0.4,5.2,11.5,67.8,187.2,50,1.9205e-05,0.987022,2.12571e-05,0.179697,0.4473,0.1,2.5,10.8,60.6,200.8,25,1.48784e-05,0.801441,1.71543e-05,0.215357,0.559295,0.9,7.3,12.2,69.3,177.1,100,827333645
