Year,popSizeP1,PiP1,FitnessP1,meanHetP1,BP1,FROHP1,avgvStrDelP1,avgStrDelP1,avgModDelP1,avgWkDelP1,avgNeutP1,popSizeP2,PiP2,FitnessP2,meanHetP2,BP2,FROHP2,avgvStrDelP2,avgStrDelP2,avgModDelP2,avgWkDelP2,avgNeutP2,popSizeP3,PiP3,FitnessP3,meanHetP3,BP3,FROHP3,avgvStrDelP3,avgStrDelP3,avgModDelP3,avgWkDelP3,avgNeutP3, KCrater,Seed
55566,1982,2.48133e-05,0.990586,2.68114e-05,0.310473,0.276545,0.6,3.6,10.2,71.4,211.2,107,2.2707e-05,0.985376,2.47771e-05,0.175271,0.335234,0.4,4.6,9.9,73.4,202.5,10,2.44752e-05,0.990772,2.69257e-05,0.133636,0.271337,0.1,3.3,9.6,72.3,210.9,100,1012951185
55568,1961,2.42741e-05,0.990553,2.74514e-05,0.171876,0.259247,0.3,4.8,11.4,70.5,203.7,111,2.06533e-05,0.983615,2.50629e-05,0.155725,0.30107,0.3,4.2,8.4,73.7,206.4,34,2.03198e-05,0.953579,2.81829e-05,0.115716,0.241006,0.0,4.2,10.1,70.3,216.2,100,1012951185
55570,1924,2.42856e-05,0.990537,2.71086e-05,0.255344,0.239631,0.3,4.2,10.4,68.4,203.7,116,2.13364e-05,0.984056,2.56e-05,0.141394,0.305113,0.3,3.9,9.1,70.5,203.3,31,2.15306e-05,0.963509,2.728e-05,0.104418,0.302299,0.0,2.8,11.4,73.2,211.7,100,1012951185
55572,1970,2.44112e-05,0.990308,2.69143e-05,0.225712,0.256821,0.1,4.8,8.6,78.3,198.7,114,2.17978e-05,0.983894,2.40457e-05,0.151889,0.339392,0.4,3.4,7.3,73.7,203.3,25,2.03541e-05,1.24387,2.63086e-05,0.0988655,0.267017,0.0,3.5,9.9,71.1,204.1,100,1012951185
55574,1951,2.41394e-05,0.990047,2.75771e-05,0.14963,0.244279,0.3,4.1,11.2,70.7,202.8,127,2.23118e-05,0.982218,2.43086e-05,0.161519,0.346739,0.3,3.8,8.1,74.5,203.3,21,2.20742e-05,1.20039,2.43657e-05,0.0851722,0.342519,0.0,3.5,10.8,73.6,201.5,100,1012951185
55576,2007,2.49983e-05,0.990039,2.74057e-05,0.14444,0.235922,0.1,3.7,12.0,76.3,199.6,125,2.21291e-05,0.98338,2.44571e-05,0.151865,0.328911,0.3,4.2,7.9,73.8,202.7,23,2.20971e-05,1.2216,2.512e-05,0.102297,0.318277,0.0,3.9,11.2,71.0,205.0,100,1012951185
55578,1996,2.43153e-05,0.990145,2.77486e-05,0.185234,0.235207,0.5,3.9,11.4,77.3,201.0,125,2.19006e-05,0.984117,2.45943e-05,0.160404,0.318247,0.6,4.1,9.7,71.6,208.4,25,1.98515e-05,1.16156,2.23771e-05,0.08626,0.418446,0.0,4.5,9.3,71.9,213.4,100,1012951185
55580,1984,2.45643e-05,0.990287,2.77943e-05,0.209546,0.246502,0.2,5.4,11.7,75.2,201.7,115,2.22296e-05,0.984977,2.34286e-05,0.135716,0.366963,0.2,3.7,9.4,72.8,202.0,24,1.91913e-05,1.19332,2.26171e-05,0.0760492,0.406478,0.0,4.7,11.4,66.1,214.1,100,1012951185
55582,1977,2.43312e-05,0.990098,2.71429e-05,0.237927,0.259468,0.2,4.5,8.7,69.5,207.9,44,2.18824e-05,0.984309,2.31543e-05,0.138802,0.365254,0.4,3.9,8.9,73.6,199.6,18,1.84283e-05,0.880741,2.22629e-05,0.0875749,0.442429,0.0,5.9,12.7,70.4,214.0,100,1012951185
55584,1982,2.46099e-05,0.990232,2.77257e-05,0.181752,0.2531,0.5,4.0,10.1,75.0,205.0,49,2.14346e-05,0.986151,2.44686e-05,0.109577,0.344839,0.0,3.6,7.3,75.4,203.4,18,1.78367e-05,0.882393,1.95429e-05,0.0724857,0.506837,0.0,4.5,12.3,71.2,208.8,100,1012951185
55586,1990,2.40069e-05,0.990198,2.744e-05,0.293802,0.246527,0.6,4.8,10.8,72.8,207.0,42,2.05643e-05,0.989273,2.504e-05,0.163379,0.323072,0.3,4.2,8.7,76.0,205.7,19,1.72838e-05,0.862795,1.944e-05,0.0879804,0.516133,0.0,4.2,12.8,70.1,212.8,100,1012951185
55588,1989,2.46945e-05,0.990318,2.79543e-05,0.244849,0.238974,0.1,4.8,9.0,68.4,206.7,45,2.15968e-05,0.98759,2.42057e-05,0.134323,0.345915,0.3,3.0,9.7,74.0,203.8,21,1.09926e-05,1.25011,1.23086e-05,0.0434631,0.690467,0.0,3.1,10.9,71.0,199.1,100,1012951185
55590,1955,2.45254e-05,0.990255,2.67886e-05,0.182379,0.281561,0.3,4.2,9.6,70.5,200.4,54,2.13501e-05,0.988403,2.36457e-05,0.155125,0.349325,0.5,3.5,8.4,73.6,204.4,29,1.25117e-05,1.15679,1.14171e-05,0.0440893,0.71296,0.0,3.9,12.1,66.7,202.4,100,1012951185
55592,1986,2.47127e-05,0.990384,2.76229e-05,0.238722,0.234838,0.7,5.5,9.7,72.6,209.2,49,2.06922e-05,0.98846,2.34629e-05,0.130088,0.348905,0.1,3.6,8.0,70.9,200.5,24,1.78778e-05,0.866568,1.63429e-05,0.0674302,0.59158,0.0,4.4,13.1,68.6,200.9,100,1012951185
55594,1922,2.46785e-05,0.990198,2.74171e-05,0.224529,0.259823,0.4,4.7,11.3,69.8,204.6,55,2.12633e-05,0.985882,2.34857e-05,0.102416,0.350872,0.1,3.0,8.5,70.3,201.7,23,1.62833e-05,0.853804,1.87314e-05,0.105663,0.53061,0.0,5.2,14.0,69.4,211.8,100,1012951185
55596,1987,2.50371e-05,0.990247,2.64457e-05,0.262894,0.265496,0.5,4.4,10.5,72.4,204.5,57,2.196e-05,0.989308,2.44571e-05,0.116292,0.332006,0.1,3.9,8.6,72.5,207.5,26,1.60685e-05,0.847744,1.86057e-05,0.0861556,0.536133,0.0,4.7,12.3,69.0,207.6,100,1012951185
55598,1979,2.41485e-05,0.990137,2.70286e-05,0.188877,0.245762,0.4,4.2,11.9,69.9,201.3,50,2.07676e-05,0.990503,2.39314e-05,0.118839,0.340494,0.1,3.0,8.3,71.8,204.7,31,1.42342e-05,0.846984,1.63657e-05,0.0638997,0.607597,0.0,4.2,13.4,70.4,210.2,100,1012951185
55600,1959,2.47516e-05,0.990085,2.744e-05,0.167934,0.248002,0.1,4.7,10.5,69.5,210.8,51,2.08155e-05,0.99209,2.28229e-05,0.122237,0.378863,0.1,3.1,8.2,71.4,200.1,28,1.57122e-05,0.849607,1.65486e-05,0.0728975,0.601299,0.0,4.8,13.4,69.0,205.9,100,1012951185
55602,1970,2.43815e-05,0.990293,2.69371e-05,0.174818,0.255086,0.2,4.8,12.9,69.9,208.1,43,2.03404e-05,0.990937,2.39543e-05,0.0923622,0.347547,0.2,1.9,9.2,71.7,197.3,32,1.44283e-05,0.847084,1.62057e-05,0.068174,0.61802,0.0,4.7,12.2,70.4,202.5,100,1012951185
